Epithelial sample ID,Study ID,Haematological sample ID,Study ID,Neurological sample ID,Study ID,Sarcoma Sample ID,Study ID,Matched Normal sample ID,Study ID
TCGA-S3-AA15-01A,BRCA,TARGET-20-PAXKSZ-09A,AML,TCGA-HT-7485-01A,LGG,TCGA-MB-A8JL-01A,TCGA_SARC,,
TCGA-A7-A5ZX-01A,BRCA,TARGET-20-PARPWL-09A,AML,TCGA-S9-A7IY-01A,LGG,TCGA-MB-A5YA-01A,TCGA_SARC,,
TCGA-BH-A0DH-01A,BRCA,TARGET-20-PASZEI-09A,AML,TCGA-TM-A84L-01A,LGG,TCGA-DX-A3M2-01A,TCGA_SARC,,
TCGA-D8-A1X9-01A,BRCA,TARGET-20-PANWHP-09A,AML,TCGA-HT-8019-01A,LGG,TCGA-3B-A9HS-01A,TCGA_SARC,,
TCGA-A8-A06Q-01A,BRCA,TARGET-20-PAWHFV-09A,AML,TCGA-S9-A6U0-01A,LGG,TCGA-DX-A8BM-01A,TCGA_SARC,,
TCGA-D8-A27I-01A,BRCA,TARGET-20-PAXDHL-09A,AML,TCGA-DU-5852-01A,LGG,TCGA-K1-A6RU-01A,TCGA_SARC,,
TCGA-E2-A15G-01A,BRCA,TARGET-20-PAUYDT-09A,AML,TCGA-S9-A7R7-01A,LGG,TCGA-IS-A3K7-01A,TCGA_SARC,,
TCGA-E2-A152-01A,BRCA,TARGET-20-PAXMCV-09A,AML,TCGA-DU-7014-01A,LGG,TCGA-IF-A4AJ-01A,TCGA_SARC,,
TCGA-BH-A0HO-01A,BRCA,TARGET-20-PASYWV-09A,AML,TCGA-DU-A6S7-01A,LGG,TCGA-IW-A3M5-01A,TCGA_SARC,,
TCGA-E2-A2P5-01A,BRCA,TARGET-20-PAURLB-09A,AML,TCGA-S9-A6WG-01A,LGG,TCGA-DX-A23Z-01A,TCGA_SARC,,
TCGA-E9-A2JS-01A,BRCA,TARGET-20-PAXMAD-09A,AML,TCGA-IK-7675-01A,LGG,TCGA-QC-AA9N-01A,TCGA_SARC,,
TCGA-C8-A12K-01A,BRCA,TARGET-20-PABLDZ-09A,AML,TCGA-FG-A60K-01A,LGG,TCGA-JV-A5VF-01A,TCGA_SARC,,
TCGA-E2-A572-01A,BRCA,TARGET-20-PAWMIP-09A,AML,TCGA-P5-A736-01A,LGG,TCGA-DX-A7ET-01A,TCGA_SARC,,
TCGA-AN-A0G0-01A,BRCA,TARGET-20-PAWFZT-09A,AML,TCGA-QH-A86X-01A,LGG,TCGA-X2-A95T-01A,TCGA_SARC,,
TCGA-E2-A150-01A,BRCA,TARGET-21-PASSLT-09A,AML,TCGA-FG-A4MX-01A,LGG,TCGA-DX-A6BB-01A,TCGA_SARC,,
TCGA-A8-A06N-01A,BRCA,TARGET-20-PAWANV-09A,AML,TCGA-HT-7616-01A,LGG,TCGA-DX-A1KX-01A,TCGA_SARC,,
TCGA-EW-A1PG-01A,BRCA,TARGET-20-PAWWTP-09A,AML,TCGA-CS-6667-01A,LGG,TCGA-DX-AB2V-01A,TCGA_SARC,,
TCGA-BH-A1F0-01A,BRCA,TARGET-20-PAWVCG-09A,AML,TCGA-FG-A6J3-01A,LGG,TCGA-DX-A7EN-01A,TCGA_SARC,,
TCGA-C8-A1HO-01A,BRCA,TARGET-20-PAWCIL-09A,AML,TCGA-HT-7684-01A,LGG,TCGA-DX-AB3A-01A,TCGA_SARC,,
TCGA-S3-AA0Z-01A,BRCA,TARGET-20-PAWRPX-09A,AML,TCGA-S9-A6U8-01A,LGG,TCGA-DX-A8BX-01A,TCGA_SARC,,
TCGA-E9-A6HE-01A,BRCA,TARGET-20-PAXAAA-09A,AML,TCGA-HT-7858-01A,LGG,TCGA-DX-AB32-01A,TCGA_SARC,,
TCGA-E2-A9RU-01A,BRCA,TARGET-20-PAUYCB-09A,AML,TCGA-CS-5396-01A,LGG,TCGA-MB-A8JK-01A,TCGA_SARC,,
TCGA-BH-A8G0-01A,BRCA,TARGET-20-PASVPC-09A,AML,TCGA-DH-A7UT-01A,LGG,TCGA-QQ-A5VA-01A,TCGA_SARC,,
TCGA-A1-A0SP-01A,BRCA,TARGET-20-PAXJYU-09A,AML,TCGA-DU-6404-01A,LGG,TCGA-PC-A5DK-01A,TCGA_SARC,,
TCGA-E9-A248-01A,BRCA,TARGET-20-PALHVV-09A,AML,TCGA-DU-8161-01A,LGG,TCGA-DX-A8BR-01A,TCGA_SARC,,
TCGA-AR-A5QN-01A,BRCA,TARGET-20-PASUUP-09A,AML,TCGA-HT-7856-01A,LGG,TCGA-MJ-A850-01A,TCGA_SARC,,
TCGA-EW-A2FS-01A,BRCA,TARGET-20-PATFRY-09A,AML,TCGA-CS-5397-01A,LGG,TCGA-DX-AB2G-01A,TCGA_SARC,,
TCGA-A8-A07I-01A,BRCA,TARGET-21-PARNAW-09A,AML,TCGA-S9-A6TW-01A,LGG,TCGA-DX-A6Z2-01A,TCGA_SARC,,
TCGA-BH-A18S-01A,BRCA,TARGET-20-PAUUZT-09A,AML,TCGA-DH-A66F-01A,LGG,TCGA-DX-A8BL-01A,TCGA_SARC,,
TCGA-BH-A0DV-01A,BRCA,TARGET-20-PAWUTL-09A,AML,TCGA-DU-7309-01A,LGG,TCGA-KD-A5QT-01A,TCGA_SARC,,
TCGA-D8-A1JK-01A,BRCA,TARGET-20-PASURR-09A,AML,TCGA-TQ-A7RO-01A,LGG,TCGA-QQ-A5VC-01A,TCGA_SARC,,
TCGA-AN-A046-01A,BRCA,TARGET-20-PAWSJZ-09A,AML,TCGA-QH-A6X8-01A,LGG,TCGA-HB-A43Z-01A,TCGA_SARC,,
TCGA-BH-A0BD-01A,BRCA,TARGET-20-PAWXCK-09A,AML,TCGA-S9-A7IQ-01A,LGG,TCGA-IW-A3M4-01A,TCGA_SARC,,
TCGA-C8-A9FZ-01A,BRCA,TARGET-20-PAVDMY-09A,AML,TCGA-P5-A733-01A,LGG,TCGA-IW-A3M6-01A,TCGA_SARC,,
TCGA-AC-A3HN-01A,BRCA,TARGET-20-PARCVP-09A,AML,TCGA-VM-A8CA-01A,LGG,TCGA-DX-A8BK-01A,TCGA_SARC,,
TCGA-A7-A0DB-01A,BRCA,TARGET-20-PAXKAX-09A,AML,TCGA-FG-6688-01A,LGG,TCGA-UE-A6QT-01A,TCGA_SARC,,
TCGA-A2-A0CO-01A,BRCA,TARGET-20-PAVAWS-09A,AML,TCGA-TQ-A7RQ-01A,LGG,TCGA-3B-A9I1-01A,TCGA_SARC,,
TCGA-E9-A228-01A,BRCA,TARGET-20-PARIYB-09A,AML,TCGA-TQ-A7RJ-01A,LGG,TCGA-QQ-A5V2-01A,TCGA_SARC,,
TCGA-EW-A1P1-01A,BRCA,TARGET-20-PAWWWE-09A,AML,TCGA-S9-A6UA-01A,LGG,TCGA-X6-A7WB-01A,TCGA_SARC,,
TCGA-EW-A1P8-01A,BRCA,TARGET-20-PAWCBZ-09A,AML,TCGA-DU-7290-01A,LGG,TCGA-QC-A7B5-01A,TCGA_SARC,,
TCGA-LL-A5YP-01A,BRCA,TARGET-20-PAWZZN-09A,AML,TCGA-FG-A4MT-01A,LGG,TCGA-WK-A8XY-01A,TCGA_SARC,,
TCGA-AO-A03N-01B,BRCA,TARGET-20-PASHBI-09A,AML,TCGA-FG-A4MT-02A,LGG,TCGA-X6-A8C7-01A,TCGA_SARC,,
TCGA-BH-A0W7-01A,BRCA,TARGET-20-PAXLEE-09A,AML,TCGA-HT-A617-01A,LGG,TCGA-MJ-A68J-01A,TCGA_SARC,,
TCGA-BH-A0H3-01A,BRCA,TARGET-20-PATFYN-09A,AML,TCGA-FG-6691-01A,LGG,TCGA-VT-A80G-01A,TCGA_SARC,,
TCGA-A2-A04Y-01A,BRCA,TARGET-20-PAXDMP-09A,AML,TCGA-HT-8013-01A,LGG,TCGA-PC-A5DM-01A,TCGA_SARC,,
TCGA-A8-A08A-01A,BRCA,TARGET-20-PAPUNR-09A,AML,TCGA-DU-6397-01A,LGG,TCGA-DX-A6BH-01A,TCGA_SARC,,
TCGA-D8-A1JS-01A,BRCA,TARGET-20-PASRRL-09A,AML,TCGA-HT-7877-01A,LGG,TCGA-DX-A48J-01A,TCGA_SARC,,
TCGA-C8-A3M8-01A,BRCA,TARGET-20-PAVWBW-09A,AML,TCGA-P5-A77W-01A,LGG,TCGA-K1-A3PO-01A,TCGA_SARC,,
TCGA-A8-A095-01A,BRCA,TARGET-20-PAWAWL-09A,AML,TCGA-DU-5870-02A,LGG,TCGA-DX-A48R-01A,TCGA_SARC,,
TCGA-AR-A0TP-01A,BRCA,TARGET-20-PARYGA-09A,AML,TCGA-DU-7015-01A,LGG,TCGA-3B-A9HR-01A,TCGA_SARC,,
TCGA-B6-A0WY-01A,BRCA,TARGET-20-PAUWEW-09A,AML,TCGA-DH-A66D-01A,LGG,TCGA-DX-A240-01A,TCGA_SARC,,
TCGA-E2-A14Y-01A,BRCA,TARGET-20-PAVDBT-09A,AML,TCGA-WY-A85C-01A,LGG,TCGA-DX-A7ES-01A,TCGA_SARC,,
TCGA-AC-A62Y-01A,BRCA,TARGET-20-PAUPSX-09A,AML,TCGA-S9-A7IS-01A,LGG,TCGA-DX-A48V-01A,TCGA_SARC,,
TCGA-OL-A66J-01A,BRCA,TARGET-20-PAXKKC-09A,AML,TCGA-RY-A847-01A,LGG,TCGA-DX-A7EI-01A,TCGA_SARC,,
TCGA-AR-A24T-01A,BRCA,TARGET-20-PAVPLL-09A,AML,TCGA-DU-7018-01A,LGG,TCGA-SI-A71O-01A,TCGA_SARC,,
TCGA-EW-A1P4-01A,BRCA,TARGET-20-PASFVP-09A,AML,TCGA-S9-A6WM-01A,LGG,TCGA-3B-A9HQ-01A,TCGA_SARC,,
TCGA-AR-A2LL-01A,BRCA,TARGET-20-PARFWM-09A,AML,TCGA-HT-7681-01A,LGG,TCGA-3B-A9HJ-01A,TCGA_SARC,,
TCGA-E9-A5FK-01A,BRCA,TARGET-20-PAVANT-09A,AML,TCGA-E1-A7YE-01A,LGG,TCGA-PC-A5DL-01A,TCGA_SARC,,
TCGA-A2-A0YM-01A,BRCA,TARGET-20-PAWKLC-09A,AML,TCGA-E1-A7YU-01A,LGG,TCGA-X9-A971-01A,TCGA_SARC,,
TCGA-AO-A1KO-01A,BRCA,TARGET-20-PAXJIH-09A,AML,TCGA-FG-8185-01A,LGG,TCGA-DX-A48L-01A,TCGA_SARC,,
TCGA-AR-A0TR-01A,BRCA,TARGET-20-PATGDZ-09A,AML,TCGA-DU-6392-01A,LGG,TCGA-IE-A4EJ-01A,TCGA_SARC,,
TCGA-AR-A256-01A,BRCA,TARGET-20-PAVXME-09A,AML,TCGA-HT-7860-01A,LGG,TCGA-DX-A1L0-01A,TCGA_SARC,,
TCGA-EW-A1P5-01A,BRCA,TARGET-20-PASNIY-09A,AML,TCGA-FG-A4MY-01A,LGG,TCGA-3B-A9HT-01A,TCGA_SARC,,
TCGA-B6-A0RP-01A,BRCA,TARGET-20-PAWHCT-09A,AML,TCGA-HT-7470-01A,LGG,TCGA-IE-A3OV-01A,TCGA_SARC,,
TCGA-E2-A1L6-01A,BRCA,TARGET-20-PAVBIY-09A,AML,TCGA-HT-7691-01A,LGG,TCGA-DX-A6YX-01A,TCGA_SARC,,
TCGA-C8-A12U-01A,BRCA,TARGET-20-PAWBSJ-09A,AML,TCGA-DU-6407-02B,LGG,TCGA-Z4-AAPG-01A,TCGA_SARC,,
TCGA-AR-A0TS-01A,BRCA,TARGET-20-PASRTP-09A,AML,TCGA-F6-A8O3-01A,LGG,TCGA-IS-A3KA-01A,TCGA_SARC,,
TCGA-D8-A143-01A,BRCA,TARGET-20-PARWDZ-09A,AML,TCGA-DB-A4XG-01A,LGG,TCGA-DX-AB2E-01A,TCGA_SARC,,
TCGA-A8-A09E-01A,BRCA,TARGET-20-PASUMD-09A,AML,TCGA-TM-A84C-01A,LGG,TCGA-SG-A6Z4-01A,TCGA_SARC,,
TCGA-AC-A3TM-01A,BRCA,TARGET-20-PAUXNH-09A,AML,TCGA-HT-7884-01B,LGG,TCGA-PT-A8TR-01A,TCGA_SARC,,
TCGA-A2-A3KC-01A,BRCA,TARGET-20-PAUYFL-09A,AML,TCGA-FG-A87N-01A,LGG,TCGA-FX-A3TO-01A,TCGA_SARC,,
TCGA-AC-A8OS-01A,BRCA,TARGET-20-PATEAF-09A,AML,TCGA-TM-A84O-01A,LGG,TCGA-MO-A47R-01A,TCGA_SARC,,
TCGA-BH-A18P-01A,BRCA,TARGET-20-PAWDVL-09A,AML,TCGA-CS-6666-01A,LGG,TCGA-3B-A9I3-01A,TCGA_SARC,,
TCGA-HN-A2NL-01A,BRCA,TARGET-20-PAESVN-09A,AML,TCGA-DU-5847-01A,LGG,TCGA-DX-A3LT-01A,TCGA_SARC,,
TCGA-BH-A0E7-01A,BRCA,TARGET-20-PARAJX-09A,AML,TCGA-HT-8012-01A,LGG,TCGA-DX-A8BV-01A,TCGA_SARC,,
TCGA-A2-A0D3-01A,BRCA,TARGET-20-PANUUA-09A,AML,TCGA-QH-A6X4-01A,LGG,TCGA-DX-A1KU-01A,TCGA_SARC,,
TCGA-AR-A1AU-01A,BRCA,TARGET-21-PARLSL-09A,AML,TCGA-S9-A7QY-01A,LGG,TCGA-RN-AAAQ-01A,TCGA_SARC,,
TCGA-A8-A07L-01A,BRCA,TARGET-20-PAVZTJ-09A,AML,TCGA-CS-5394-01A,LGG,TCGA-3B-A9HL-01A,TCGA_SARC,,
TCGA-BH-A1FB-01A,BRCA,TARGET-20-PADYIR-09A,AML,TCGA-DU-A6S8-01A,LGG,TCGA-FX-A48G-01A,TCGA_SARC,,
TCGA-D8-A27L-01A,BRCA,TARGET-20-PAWLTG-09A,AML,TCGA-E1-A7Z2-01A,LGG,TCGA-PC-A5DO-01A,TCGA_SARC,,
TCGA-AR-A1AR-01A,BRCA,TARGET-20-PASXNR-09A,AML,TCGA-CS-4943-01A,LGG,TCGA-IS-A3K8-01A,TCGA_SARC,,
TCGA-BH-A0C3-01A,BRCA,TARGET-20-PAVRTN-09A,AML,TCGA-DB-A64U-01A,LGG,TCGA-DX-A2J1-01A,TCGA_SARC,,
TCGA-BH-A0BW-01A,BRCA,TARGET-20-PAXGIY-09A,AML,TCGA-DB-5276-01A,LGG,TCGA-K1-A3PN-01A,TCGA_SARC,,
TCGA-AR-A1AS-01A,BRCA,TARGET-20-PAERAH-09A,AML,TCGA-S9-A6WO-01A,LGG,TCGA-DX-A7EF-01A,TCGA_SARC,,
TCGA-PL-A8LZ-01A,BRCA,TARGET-20-PAVLJH-09A,AML,TCGA-HT-8558-01A,LGG,TCGA-X6-A7W8-01A,TCGA_SARC,,
TCGA-A2-A3Y0-01A,BRCA,TARGET-20-PAUXRA-09A,AML,TCGA-HT-8113-01A,LGG,TCGA-DX-A6BG-01A,TCGA_SARC,,
TCGA-AR-A24K-01A,BRCA,TARGET-20-PAXANS-09A,AML,TCGA-P5-A735-01A,LGG,TCGA-HS-A5N8-01A,TCGA_SARC,,
TCGA-BH-A18T-01A,BRCA,TARGET-20-PAMYGX-09A,AML,TCGA-HT-7676-01A,LGG,TCGA-QQ-A8VH-01A,TCGA_SARC,,
TCGA-AR-A24O-01A,BRCA,TARGET-20-PATAIJ-09A,AML,TCGA-HT-A74K-01A,LGG,TCGA-DX-A8BZ-01A,TCGA_SARC,,
TCGA-GM-A2DF-01A,BRCA,TARGET-20-PAWMIX-09A,AML,TCGA-E1-5307-01A,LGG,TCGA-DX-A7EQ-01A,TCGA_SARC,,
TCGA-B6-A0I5-01A,BRCA,TARGET-20-PATBNP-09A,AML,TCGA-DU-A7T6-01A,LGG,TCGA-FX-A8OO-01A,TCGA_SARC,,
TCGA-AC-A2FK-01A,BRCA,TARGET-20-PAWTNN-09A,AML,TCGA-HT-A618-01A,LGG,TCGA-X6-A8C5-01A,TCGA_SARC,,
TCGA-B6-A401-01A,BRCA,TARGET-20-PAXMKU-09A,AML,TCGA-S9-A7IX-01A,LGG,TCGA-WK-A8XZ-01A,TCGA_SARC,,
TCGA-GM-A3NW-01A,BRCA,TARGET-20-PAXMLI-09A,AML,TCGA-VM-A8C8-01A,LGG,TCGA-DX-A3UE-01A,TCGA_SARC,,
TCGA-AC-A62X-01A,BRCA,TARGET-20-PANXPU-09A,AML,TCGA-HT-7469-01A,LGG,TCGA-DX-A3UC-01A,TCGA_SARC,,
TCGA-BH-A0W3-01A,BRCA,TARGET-20-PAVMNA-09A,AML,TCGA-S9-A6TZ-01A,LGG,TCGA-FX-A3NJ-01A,TCGA_SARC,,
TCGA-OL-A66N-01A,BRCA,TARGET-20-PARBVE-09A,AML,TCGA-DB-A75L-01A,LGG,TCGA-DX-A2IZ-01A,TCGA_SARC,,
TCGA-A8-A08S-01A,BRCA,TARGET-20-PAPVCN-09A,AML,TCGA-DU-A6S2-01A,LGG,TCGA-DX-A6BE-01A,TCGA_SARC,,
TCGA-OL-A5RY-01A,BRCA,TARGET-20-PAWCII-09A,AML,TCGA-E1-A7YK-01A,LGG,TCGA-DX-A23U-01A,TCGA_SARC,,
TCGA-A8-A09G-01A,BRCA,TARGET-20-PAKHBF-09A,AML,TCGA-DU-8158-01A,LGG,TCGA-DX-A8BT-01A,TCGA_SARC,,
TCGA-A8-A08L-01A,BRCA,TARGET-20-PAVSFB-09A,AML,TCGA-R8-A6YH-01A,LGG,TCGA-UE-A6QU-01A,TCGA_SARC,,
TCGA-A8-A097-01A,BRCA,TARGET-20-PAWRPD-09A,AML,TCGA-FG-A70Y-01A,LGG,TCGA-RN-A68Q-01A,TCGA_SARC,,
TCGA-A7-A26E-01B,BRCA,TARGET-20-PAVLKG-09A,AML,TCGA-DU-6404-02A,LGG,TCGA-MB-A5Y8-01A,TCGA_SARC,,
TCGA-E2-A105-01A,BRCA,TARGET-20-PAWEVC-09A,AML,TCGA-DU-7306-01A,LGG,TCGA-Z4-A8JB-01A,TCGA_SARC,,
TCGA-EW-A1PB-01A,BRCA,TARGET-20-PAWESF-09A,AML,TCGA-CS-5390-01A,LGG,TCGA-DX-A8BG-01A,TCGA_SARC,,
TCGA-EW-A423-01A,BRCA,TARGET-20-PARUXJ-09A,AML,TCGA-FG-7637-01A,LGG,TCGA-DX-AB2W-01A,TCGA_SARC,,
TCGA-A7-A6VV-01A,BRCA,TARGET-20-PASJTM-09A,AML,TCGA-DU-8163-01A,LGG,TCGA-DX-A7ER-01A,TCGA_SARC,,
TCGA-A2-A4RY-01A,BRCA,TARGET-20-PAUMAD-09A,AML,TCGA-S9-A89V-01A,LGG,TCGA-LI-A9QH-01A,TCGA_SARC,,
TCGA-A2-A25C-01A,BRCA,TARGET-20-PAWNWV-09A,AML,TCGA-HT-A61B-01A,LGG,TCGA-IS-A3K6-01A,TCGA_SARC,,
TCGA-C8-A12W-01A,BRCA,TARGET-20-PAVDVV-09A,AML,TCGA-FG-A6IZ-01A,LGG,TCGA-DX-AB3C-01A,TCGA_SARC,,
TCGA-GM-A5PX-01A,BRCA,TARGET-20-PARNPC-09A,AML,TCGA-FG-A4MW-01A,LGG,TCGA-DX-A7EM-01A,TCGA_SARC,,
TCGA-BH-A0BR-01A,BRCA,TARGET-20-PASYJL-09A,AML,TCGA-HT-A5R9-01A,LGG,TCGA-DX-AB2P-01A,TCGA_SARC,,
TCGA-LL-A73Y-01A,BRCA,TARGET-20-PAXGGF-09A,AML,TCGA-DU-5871-01A,LGG,TCGA-DX-A1KZ-01A,TCGA_SARC,,
TCGA-OL-A6VQ-01A,BRCA,TARGET-20-PAUKDH-09A,AML,TCGA-DU-A7TD-01A,LGG,TCGA-HS-A5N7-01A,TCGA_SARC,,
TCGA-AR-A2LN-01A,BRCA,TARGET-20-PAWGEG-09A,AML,TCGA-HT-7468-01A,LGG,TCGA-DX-A3UA-01A,TCGA_SARC,,
TCGA-AR-A1AV-01A,BRCA,TARGET-20-PAVSNL-09A,AML,TCGA-HT-7690-01A,LGG,TCGA-DX-A1L2-01A,TCGA_SARC,,
TCGA-AQ-A04L-01B,BRCA,TARGET-20-PAUZTH-09A,AML,TCGA-HT-7601-01A,LGG,TCGA-DX-A7EL-01A,TCGA_SARC,,
TCGA-BH-A18R-01A,BRCA,TARGET-20-PAVEYP-09A,AML,TCGA-DU-6397-02A,LGG,GSM907881,GSE36982,,
TCGA-A2-A0CP-01A,BRCA,TARGET-20-PAXGVS-09A,AML,TCGA-DU-A7TA-01A,LGG,GSM907882,GSE36982,,
TCGA-OL-A5RW-01A,BRCA,TARGET-21-PARZIA-09A,AML,TCGA-HT-A61A-01A,LGG,GSM907883,GSE36982,,
TCGA-AC-A6IX-01A,BRCA,TARGET-20-PAWCBJ-09A,AML,TCGA-HT-8564-01A,LGG,GSM907884,GSE36982,,
TCGA-E2-A1L8-01A,BRCA,TARGET-20-PATMCW-09A,AML,TCGA-DB-A4XB-01A,LGG,GSM907885,GSE36982,,
TCGA-BH-A1EN-01A,BRCA,TARGET-20-PASTJT-09A,AML,TCGA-CS-4941-01A,LGG,GSM907886,GSE36982,,
TCGA-D8-A141-01A,BRCA,TARGET-20-PAVGNC-09A,AML,TCGA-TQ-A7RW-01A,LGG,GSM907887,GSE36982,,
TCGA-A2-A0T0-01A,BRCA,TARGET-20-PAUZVP-09A,AML,TCGA-TQ-A7RF-01A,LGG,GSM907888,GSE36982,,
TCGA-EW-A6SA-01A,BRCA,TARGET-20-PARNIL-09A,AML,TCGA-DU-8164-01A,LGG,GSM907889,GSE36982,,
TCGA-B6-A0I9-01A,BRCA,TARGET-20-PAUYUH-09A,AML,TCGA-HT-A74H-01A,LGG,GSM907890,GSE36982,,
TCGA-A7-A0CJ-01A,BRCA,TARGET-20-PAPAEG-09A,AML,TCGA-CS-6668-01A,LGG,GSM907891,GSE36982,,
TCGA-BH-AB28-01A,BRCA,TARGET-20-PASRLS-09A,AML,TCGA-DH-A7UV-01A,LGG,GSM907892,GSE36982,,
TCGA-BH-A0BC-01A,BRCA,TARGET-20-PAWMPH-09A,AML,TCGA-P5-A781-01A,LGG,GSM907893,GSE36982,,
TCGA-AR-A24V-01A,BRCA,TARGET-20-PARBEL-09A,AML,TCGA-HT-7475-01A,LGG,GSM907894,GSE36982,,
TCGA-BH-A0W5-01A,BRCA,TARGET-20-PANXVZ-09A,AML,TCGA-HT-7687-01A,LGG,GSM907895,GSE36982,,
TCGA-AR-A24M-01A,BRCA,TARGET-20-PAXIFA-09A,AML,TCGA-TM-A84R-01A,LGG,GSM907896,GSE36982,,
TCGA-AR-A24P-01A,BRCA,TARGET-20-PASSPT-09A,AML,TCGA-DU-5874-01A,LGG,GSM907897,GSE36982,,
TCGA-BH-A18K-01A,BRCA,TARGET-20-PAVDYE-09A,AML,TCGA-R8-A6MO-01A,LGG,GSM907898,GSE36982,,
TCGA-E2-A1LE-01A,BRCA,TARGET-20-PALVKV-09A,AML,TCGA-FG-5962-01B,LGG,GSM907899,GSE36982,,
TCGA-E2-A1L7-01A,BRCA,TARGET-20-PAVBVA-09A,AML,TCGA-DU-7300-01A,LGG,GSM907900,GSE36982,,
TCGA-E9-A245-01A,BRCA,TARGET-20-PAWCLC-09A,AML,TCGA-R8-A6ML-01A,LGG,GSM907901,GSE36982,,
TCGA-E9-A1N6-01A,BRCA,TARGET-20-PAWGRP-09A,AML,TCGA-HT-A619-01A,LGG,GSM907902,GSE36982,,
TCGA-E9-A2JT-01A,BRCA,TARGET-20-PAXDXW-09A,AML,TCGA-FG-5963-02A,LGG,GSM907903,GSE36982,,
TCGA-A7-A26H-01A,BRCA,TARGET-20-PASLTS-09A,AML,TCGA-FG-5963-01A,LGG,GSM907904,GSE36982,,
TCGA-AQ-A04H-01B,BRCA,TARGET-20-PAXDGH-09A,AML,TCGA-FG-A70Z-01A,LGG,GSM907905,GSE36982,,
TCGA-BH-A0H0-01A,BRCA,TARGET-20-PAVPDN-09A,AML,TCGA-DU-6400-01A,LGG,GSM907906,GSE36982,,
TCGA-BH-A1FG-01A,BRCA,TARGET-20-PAVMFT-09A,AML,TCGA-S9-A6TS-01A,LGG,GSM907907,GSE36982,,
TCGA-W8-A86G-01A,BRCA,TARGET-20-PAREFM-09A,AML,TCGA-S9-A7J2-01A,LGG,GSM907908,GSE36982,,
TCGA-C8-A1HK-01A,BRCA,TARGET-20-PABGKN-09A,AML,TCGA-S9-A7QX-01A,LGG,GSM907909,GSE36982,,
TCGA-A2-A0YT-01A,BRCA,TARGET-20-PAWBTJ-09A,AML,TCGA-HW-7487-01A,LGG,GSM907910,GSE36982,,
TCGA-AO-A12C-01A,BRCA,TARGET-20-PAVZHF-09A,AML,TCGA-DB-5280-01A,LGG,GSM907911,GSE36982,,
TCGA-E2-A1IF-01A,BRCA,TARGET-20-PAUYHB-09A,AML,TCGA-S9-A6TX-01A,LGG,GSM907912,GSE36982,,
TCGA-A2-A4S3-01A,BRCA,TARGET-20-PAWYGY-09A,AML,TCGA-HT-A5R5-01A,LGG,GSM907913,GSE36982,,
TCGA-AC-A8OQ-01A,BRCA,TARGET-20-PAWIIK-09A,AML,TCGA-HT-8104-01A,LGG,GSM907914,GSE36982,,
TCGA-BH-A0BP-01A,BRCA,TARGET-20-PARBFJ-09A,AML,TCGA-E1-5304-01A,LGG,GSM907915,GSE36982,,
TCGA-A2-A0ES-01A,BRCA,TARGET-20-PAUJNJ-09A,AML,TCGA-S9-A6U5-01A,LGG,GSM907916,GSE36982,,
TCGA-A8-A08I-01A,BRCA,TARGET-20-PAVKJD-09A,AML,TCGA-HT-A5RA-01A,LGG,GSM907917,GSE36982,,
TCGA-BH-A0DQ-01A,BRCA,TARGET-20-PAWSWR-09A,AML,TCGA-HT-A4DS-01A,LGG,GSM907918,GSE36982,,
TCGA-AR-A24Z-01A,BRCA,TARGET-20-PASAFM-09A,AML,TCGA-QH-A6CS-01A,LGG,GSM907919,GSE36982,,
TCGA-D8-A1JU-01A,BRCA,TARGET-20-PARJWH-09A,AML,TCGA-DU-6395-01A,LGG,GSM907920,GSE36982,,
TCGA-C8-A12O-01A,BRCA,TARGET-20-PAWDCZ-09A,AML,TCGA-QH-A65X-01A,LGG,GSM907921,GSE36982,,
TCGA-GM-A2DA-01A,BRCA,TARGET-20-PARAIC-09A,AML,TCGA-VM-A8C9-01A,LGG,GSM907922,GSE36982,,
TCGA-A2-A0T6-01A,BRCA,TARGET-20-PATCTM-09A,AML,TCGA-HW-7495-01A,LGG,GSM907923,GSE36982,,
TCGA-A2-A0CK-01A,BRCA,TARGET-20-PAWGCP-09A,AML,TCGA-DU-8167-01A,LGG,GSM907924,GSE36982,,
TCGA-AN-A04D-01A,BRCA,TARGET-20-PAVHTL-09A,AML,TCGA-HT-7680-01A,LGG,GSM907925,GSE36982,,
TCGA-AR-A0U4-01A,BRCA,TARGET-20-PAWVUA-09A,AML,TCGA-DU-A7TG-01A,LGG,GSM907926,GSE36982,,
TCGA-A7-A13G-01B,BRCA,TARGET-20-PAUZAM-09A,AML,TCGA-DU-A5TT-01A,LGG,GSM907927,GSE36982,,
TCGA-BH-A0DK-01A,BRCA,TARGET-20-PAVAGA-09A,AML,TCGA-WY-A859-01A,LGG,GSM907928,GSE36982,,
TCGA-D8-A1XG-01A,BRCA,TARGET-20-PAVWVT-09A,AML,TCGA-FG-8187-01A,LGG,GSM907929,GSE36982,,
TCGA-A2-A0D2-01A,BRCA,TARGET-20-PAWDNM-09A,AML,TCGA-P5-A780-01A,LGG,GSM907930,GSE36982,,
TCGA-A7-A26E-01A,BRCA,TARGET-20-PAWKUR-09A,AML,TCGA-HT-7604-01A,LGG,GSM907931,GSE36982,,
TCGA-A8-A07Z-01A,BRCA,TARGET-20-PANZKA-09A,AML,TCGA-TM-A84Q-01A,LGG,GSM907932,GSE36982,,
