Epithelial sample ID,Study ID,Haematological sample ID,Study ID,Neurological sample ID,Study ID,Sarcoma Sample ID,Study ID,Matched Normal sample ID,Study ID
TCGA-D8-A1X7-01A,BRCA,TARGET-20-PAWRSI-09A,AML,TCGA-P5-A5EW-01A,LGG,TCGA-WK-A8Y0-01A,TCGA_SARC,TCGA-BG-A2AD-11A,TCGA-UCEC
TCGA-AN-A0FY-01A,BRCA,TARGET-20-PATBIP-09A,AML,TCGA-E1-5322-01A,LGG,TCGA-DX-AB2Z-01A,TCGA_SARC,TCGA-BG-A3EW-11A,TCGA-UCEC
TCGA-E9-A1NG-01A,BRCA,TARGET-20-PASVYA-09A,AML,TCGA-HW-7489-01A,LGG,TCGA-DX-AB30-01A,TCGA_SARC,TCGA-BK-A0CB-11A,TCGA-UCEC
TCGA-D8-A1JL-01A,BRCA,TARGET-20-PAWDTR-09A,AML,TCGA-TQ-A7RV-02A,LGG,TCGA-DX-A3UB-01A,TCGA_SARC,TCGA-BK-A4ZD-11A,TCGA-UCEC
TCGA-A7-A4SD-01A,BRCA,TARGET-20-PARAEG-09A,AML,TCGA-DU-6399-01A,LGG,TCGA-DX-AB2L-01A,TCGA_SARC,TCGA-E6-A1M0-11A,TCGA-UCEC
TCGA-A2-A0CY-01A,BRCA,TARGET-20-PAUXYG-09A,AML,TCGA-HT-7471-01A,LGG,TCGA-DX-A3U7-01A,TCGA_SARC,GSM1103159,GSE45363
TCGA-BH-A0DT-01A,BRCA,TARGET-20-PATMIK-09A,AML,TCGA-HT-7610-01A,LGG,TCGA-3B-A9I0-01A,TCGA_SARC,GSM1103160,GSE45363
TCGA-E9-A1NH-01A,BRCA,TARGET-20-PAVDNF-09A,AML,TCGA-E1-5303-01A,LGG,TCGA-WP-A9GB-01A,TCGA_SARC,GSM1103161,GSE45363
TCGA-AO-A0J7-01A,BRCA,TARGET-20-PAVACZ-09A,AML,TCGA-HW-7486-01A,LGG,TCGA-DX-AB3B-01A,TCGA_SARC,GSM1103162,GSE45363
TCGA-AR-A1AH-01A,BRCA,TARGET-20-PAWNSL-09A,AML,TCGA-P5-A72U-01A,LGG,TCGA-DX-A6YQ-01A,TCGA_SARC,GSM1103163,GSE45363
TCGA-E9-A1R0-01A,BRCA,TARGET-20-PASFNP-09A,AML,TCGA-P5-A730-01A,LGG,TCGA-DX-A3LS-01A,TCGA_SARC,GSM1103164,GSE45363
TCGA-D8-A27P-01A,BRCA,TARGET-20-PAVPJM-09A,AML,TCGA-VM-A8CH-01A,LGG,TCGA-DX-A1KY-01A,TCGA_SARC,GSM1103165,GSE45363
TCGA-AO-A0JL-01A,BRCA,TARGET-20-PARAUM-09A,AML,TCGA-VV-A86M-01A,LGG,TCGA-Z4-AAPF-01A,TCGA_SARC,GSM1103166,GSE45363
TCGA-BH-A18L-01A,BRCA,TARGET-20-PARJRG-09A,AML,TCGA-E1-A7YI-01A,LGG,TCGA-DX-A8BN-01A,TCGA_SARC,GSM1103167,GSE45363
TCGA-AC-A6IW-01A,BRCA,TARGET-20-PAWIVB-09A,AML,TCGA-HT-8011-01A,LGG,TCGA-3B-A9HU-01A,TCGA_SARC,GSM625462,GSE25470
TCGA-AN-A0FF-01A,BRCA,TARGET-20-PAVTDW-09A,AML,TCGA-FG-A710-01A,LGG,TCGA-QQ-A5V9-01A,TCGA_SARC,GSM625463,GSE25470
TCGA-B6-A402-01A,BRCA,TARGET-20-PAWXCM-09A,AML,TCGA-DB-A4XD-01A,LGG,TCGA-DX-A6Z0-01A,TCGA_SARC,GSM625464,GSE25470
TCGA-BH-A0C1-01B,BRCA,TARGET-20-PAUIPM-09A,AML,TCGA-DU-A6S6-01A,LGG,TCGA-MB-A5Y9-01A,TCGA_SARC,GSM625465,GSE25470
TCGA-A8-A084-01A,BRCA,TARGET-20-PAWERN-09A,AML,TCGA-DU-6393-01A,LGG,TCGA-FX-A2QS-01A,TCGA_SARC,GSM625467,GSE25470
TCGA-E9-A1R6-01A,BRCA,TARGET-20-PAWVNP-09A,AML,TCGA-DU-7294-01A,LGG,TCGA-FX-A3RE-01A,TCGA_SARC,GSM625468,GSE25470
TCGA-A2-A04P-01A,BRCA,TARGET-20-PARTVG-09A,AML,TCGA-DU-A6S3-01A,LGG,TCGA-DX-AB2O-01A,TCGA_SARC,GSM625472,GSE25470
TCGA-AR-A1AX-01A,BRCA,TARGET-20-PAKLPD-09A,AML,TCGA-DU-6410-01A,LGG,TCGA-SG-A849-01A,TCGA_SARC,GSM625475,GSE25470
TCGA-EW-A1OY-01A,BRCA,TARGET-20-PAVMBH-09A,AML,TCGA-DU-7019-01A,LGG,TCGA-DX-A48P-01A,TCGA_SARC,GSM625476,GSE25470
TCGA-GM-A2DL-01A,BRCA,TARGET-20-PASSHZ-09A,AML,TCGA-HT-7880-01A,LGG,TCGA-DX-A8BH-01A,TCGA_SARC,GSM625477,GSE25470
TCGA-A2-A0YG-01A,BRCA,TARGET-20-PAWGSX-09A,AML,TCGA-HT-7873-01B,LGG,TCGA-DX-A1KW-01A,TCGA_SARC,GSM625478,GSE25470
TCGA-PL-A8LY-01A,BRCA,TARGET-20-PAXEPC-09A,AML,TCGA-DU-A7TC-01A,LGG,TCGA-DX-AB2J-01A,TCGA_SARC,GSM625481,GSE25470
TCGA-AR-A2LE-01A,BRCA,TARGET-20-PAVZCR-09A,AML,TCGA-FG-5964-01A,LGG,TCGA-QQ-A8VF-01A,TCGA_SARC,GSM625490,GSE25470
TCGA-AO-A03T-01A,BRCA,TARGET-20-PANUTB-09A,AML,TCGA-HT-7688-01A,LGG,TCGA-DX-AB35-01A,TCGA_SARC,GSM625491,GSE25470
TCGA-A2-A0T3-01A,BRCA,TARGET-20-PAVSEJ-09A,AML,TCGA-HT-8108-01A,LGG,TCGA-X6-A8C6-01A,TCGA_SARC,GSM625493,GSE25470
TCGA-A2-A0T5-01A,BRCA,TARGET-20-PAWFIZ-09A,AML,TCGA-DH-A669-01A,LGG,TCGA-DX-AB2H-01A,TCGA_SARC,GSM625494,GSE25470
TCGA-A2-A0YI-01A,BRCA,TARGET-20-PAWZIX-09A,AML,TCGA-DU-6407-01A,LGG,TCGA-DX-AB2F-01A,TCGA_SARC,GSM625495,GSE25470
TCGA-BH-A1FJ-01A,BRCA,TARGET-20-PASHHH-09A,AML,TCGA-FG-7638-01B,LGG,TCGA-DX-AB2T-01A,TCGA_SARC,GSM625496,GSE25470
TCGA-A2-A1FW-01A,BRCA,TARGET-21-PASFJJ-09A,AML,TCGA-DB-A64S-01A,LGG,TCGA-DX-A3UD-01A,TCGA_SARC,GSM625497,GSE25470
TCGA-E2-A15D-01A,BRCA,TARGET-20-PAXHDA-09A,AML,TCGA-S9-A6TU-01A,LGG,TCGA-KD-A5QS-01A,TCGA_SARC,GSM625498,GSE25470
TCGA-B6-A0IQ-01A,BRCA,TARGET-20-PANXWX-09A,AML,TCGA-DB-A4X9-01A,LGG,TCGA-VT-A80J-01A,TCGA_SARC,GSM625499,GSE25470
